id,date,asset,type,entry_price,stop_loss,take_profit,exit_price,quantity,strategy,notes,profit_loss,photo,mistakes,risk_amount,reward_amount,exit_date,entry_datetime,exit_datetime,trade_date,asset_class,trade_type,trader_id,trader_name,fees,net_profit,stop_distance,target_distance,notional,risk_reward_ratio,r_multiple,realised_rr,rr_slippage,fee_pct_of_risk,is_win,win_loss,gross_profit,gross_loss,trade_duration_min,year,quarter,month,month_name,year_month,iso_week,year_week,weekday_num,weekday,is_weekend,entry_hour,trading_session,trade_notes,emotional_state,is_tilt_state,is_controlled_state,trade_id,trade_seq,trade_seq_in_day,trades_that_day,cum_pnl_trader,cum_pnl_portfolio,prev_result,prev_r_multiple,minutes_since_prev_exit,is_quick_reentry,win_streak,loss_streak,prev_loss_streak,duration_bucket,rr_bucket,data_source,account_balance,equity_peak,drawdown_abs,drawdown_pct,risk_pct,reward_pct,risk_bucket
17,2026-04-02T14:30:40,ETH,BUY,2391.0,2381.0,2421.0,2421.0,0.5,Scalping,,15.0,/uploads/202604d121813_Screenshot_2026-04-24_at_12.18.09_PM.png,,5.0,,,2026-04-02 14:30:40,,2026-04-02,Crypto,Buy,TR-LIVE,Journal User,0.0,15.0,10.0,30.0,1195.5,3.0,3.0,3.0,0.0,0.0,1,Win,15.0,0.0,,2026,Q2,4,Apr,2026-04,14,2026-W14,3,Thursday,False,14,New York,,Unspecified,0,1,JN-000017,1,1,1,15.0,15.0,,,,0,1,0,0.0,,2-3R,real,10015.0,10015.0,0.0,0.0,0.04992511233150275,0.14977533699450823,<0.5%
9,2026-04-13T18:15:24,ETH,BUY,2192.0,2174.0,2236.0,2395.0,0.5,Scalping,breakout of the trendline on 15 min timeframe ,101.5,/uploads/202604d114545_Screenshot_2026-04-24_at_11.45.34_AM.png,,9.0,,2026-04-27T15:50,2026-04-13 18:15:24,2026-04-27 15:50:00,2026-04-13,Crypto,Buy,TR-LIVE,Journal User,0.0,101.5,18.0,44.0,1096.0,2.44,11.277777777777779,11.277777777777779,8.837777777777779,0.0,1,Win,101.5,0.0,20014.6,2026,Q2,4,Apr,2026-04,16,2026-W16,0,Monday,False,18,New York,breakout of the trendline on 15 min timeframe ,Unspecified,0,1,JN-000009,2,1,1,116.5,116.5,1.0,3.0,,0,2,0,0.0,>1d,2-3R,real,10116.5,10116.5,0.0,0.0,0.0889635743587209,0.217071121435279,<0.5%
10,2026-04-17T12:30:47,ETH,BUY,2338.0,2323.0,2371.0,2371.0,0.5,Scalping,breakout structure of the trendline on 15 min time frame ,16.5,/uploads/202604d115036_Screenshot_2026-04-24_at_11.50.29_AM.png,,7.5,,,2026-04-17 12:30:47,,2026-04-17,Crypto,Buy,TR-LIVE,Journal User,0.0,16.5,15.0,33.0,1169.0,2.2,2.2,2.2,0.0,0.0,1,Win,16.5,0.0,,2026,Q2,4,Apr,2026-04,16,2026-W16,4,Friday,False,12,London,breakout structure of the trendline on 15 min time frame ,Unspecified,0,1,JN-000010,3,1,1,133.0,133.0,1.0,11.277777777777779,-14599.216666666667,0,3,0,0.0,,2-3R,real,10133.0,10133.0,0.0,0.0,0.07401559261817822,0.1628343037599921,<0.5%
11,2026-04-19T00:00:37,ETH,SELL,2344.0,2358.0,2313.0,2313.0,0.5,Scalping,the market is going in the downward trend in i found an trendline breakdown on 15 min timeframe so i executed this trade ,15.5,/uploads/202604d115639_Screenshot_2026-04-24_at_11.56.34_AM.png,,7.0,,,2026-04-19 00:00:37,,2026-04-19,Crypto,Sell,TR-LIVE,Journal User,0.0,15.5,14.0,31.0,1172.0,2.21,2.2142857142857144,2.2142857142857144,0.004285714285714448,0.0,1,Win,15.5,0.0,,2026,Q2,4,Apr,2026-04,16,2026-W16,6,Sunday,True,0,Asia,the market is going in the downward trend in i found an trendline breakdown on 15 min timeframe so i executed this trade ,Unspecified,0,1,JN-000011,4,1,2,148.5,148.5,1.0,2.2,,0,4,0,0.0,,2-3R,real,10148.5,10148.5,0.0,0.0,0.068975710696162,0.152436320638518,<0.5%
12,2026-04-19T21:00:38,ETH,SELL,2323.0,2338.0,2291.0,2291.0,0.5,Scalping,,16.0,/uploads/202604d120038_Screenshot_2026-04-24_at_12.00.34_PM.png,,7.5,,,2026-04-19 21:00:38,,2026-04-19,Crypto,Sell,TR-LIVE,Journal User,0.0,16.0,15.0,32.0,1161.5,2.13,2.1333333333333333,2.1333333333333333,0.0033333333333334103,0.0,1,Win,16.0,0.0,,2026,Q2,4,Apr,2026-04,16,2026-W16,6,Sunday,True,21,New York,,Unspecified,0,1,JN-000012,5,2,2,164.5,164.5,1.0,2.2142857142857144,,0,5,0,0.0,,2-3R,real,10164.5,10164.5,0.0,0.0,0.07378621673471396,0.15716464164494073,<0.5%
13,2026-04-20T10:30:50,ETH,SELL,2272.0,2287.0,2240.0,2287.0,0.5,Scalping,,-7.5,/uploads/202604d120318_Screenshot_2026-04-24_at_12.02.36_PM.png,,7.5,,,2026-04-20 10:30:50,,2026-04-20,Crypto,Sell,TR-LIVE,Journal User,0.0,-7.5,15.0,32.0,1136.0,2.13,-1.0,-1.0,-3.13,0.0,0,Loss,0.0,7.5,,2026,Q2,4,Apr,2026-04,17,2026-W17,0,Monday,False,10,London,,Unspecified,0,1,JN-000013,6,1,2,157.0,157.0,1.0,2.1333333333333333,,0,0,1,0.0,,2-3R,real,10157.0,10164.5,7.5,0.07378621673471396,0.07384070099438811,0.15728069311804665,<0.5%
14,2026-04-20T15:30:20,ETH,BUY,2314.0,2300.0,2345.0,2300.0,0.5,Scalping,,-7.0,/uploads/202604d120457_Screenshot_2026-04-24_at_12.04.53_PM.png,,7.0,,,2026-04-20 15:30:20,,2026-04-20,Crypto,Buy,TR-LIVE,Journal User,0.0,-7.0,14.0,31.0,1157.0,2.21,-1.0,-1.0,-3.21,0.0,0,Loss,0.0,7.0,,2026,Q2,4,Apr,2026-04,17,2026-W17,0,Monday,False,15,New York,,Unspecified,0,1,JN-000014,7,2,2,150.0,150.0,0.0,-1.0,,0,0,2,1.0,,2-3R,real,10150.0,10164.5,14.5,0.14265335235378032,0.06896551724137931,0.15241379310344827,<0.5%
15,2026-04-21T22:15,ETH,SELL,2306.0,2315.0,2275.0,2315.0,0.5,Scalping,,-4.5,/uploads/202604d120757_Screenshot_2026-04-24_at_12.07.51_PM.png,,4.5,,,2026-04-21 22:15:00,,2026-04-21,Crypto,Sell,TR-LIVE,Journal User,0.0,-4.5,9.0,31.0,1153.0,3.44,-1.0,-1.0,-4.4399999999999995,0.0,0,Loss,0.0,4.5,,2026,Q2,4,Apr,2026-04,17,2026-W17,1,Tuesday,False,22,New York,,Unspecified,0,1,JN-000015,8,1,1,145.5,145.5,0.0,-1.0,,0,0,3,2.0,,>3R,real,10145.5,10164.5,19.0,0.1869250823946087,0.044354639988172094,0.152579961559312,<0.5%
16,2026-04-22T14:30:48,ETH,BUY,2316.0,2300.0,2346.0,2412.0,0.5,Scalping,,48.0,/uploads/202604d121439_Screenshot_2026-04-24_at_12.14.34_PM.png,,8.0,,,2026-04-22 14:30:48,,2026-04-22,Crypto,Buy,TR-LIVE,Journal User,0.0,48.0,16.0,30.0,1158.0,1.88,6.0,6.0,4.12,0.0,1,Win,48.0,0.0,,2026,Q2,4,Apr,2026-04,17,2026-W17,2,Wednesday,False,14,New York,,Unspecified,0,1,JN-000016,9,1,1,193.5,193.5,0.0,-1.0,,0,1,0,3.0,,1-2R,real,10193.5,10193.5,0.0,0.0,0.07848138519644872,0.1475450041693236,<0.5%
18,2026-04-23T04:45:52,ETH,SELL,2385.0,2400.0,2354.0,2354.0,0.5,Scalping,,15.5,/uploads/202604d122106_Screenshot_2026-04-24_at_12.21.02_PM.png,,7.5,,,2026-04-23 04:45:52,,2026-04-23,Crypto,Sell,TR-LIVE,Journal User,0.0,15.5,15.0,31.0,1192.5,2.07,2.066666666666667,2.066666666666667,-0.0033333333333329662,0.0,1,Win,15.5,0.0,,2026,Q2,4,Apr,2026-04,17,2026-W17,3,Thursday,False,4,Asia,,Unspecified,0,1,JN-000018,10,1,3,209.0,209.0,1.0,6.0,,0,2,0,0.0,,2-3R,real,10209.0,10209.0,0.0,0.0,0.07346459006758742,0.15207170143990595,<0.5%
