year_month,trades,wins,net_profit,gross_profit,gross_loss,fees,avg_r,avg_rr,avg_risk_pct,win_rate,profit_factor,cum_net_profit,mom_growth_pct
2024-01,383,139,-8392.32,95769.58,104161.9,8624.56,-0.009468401755812926,2.344804177545692,1.4476083550913836,36.29242819843342,0.9194300411186817,-8392.32,
2024-02,439,148,-19729.36,91907.58,111636.94,8769.49,-0.0655572278387196,2.3556036446469246,1.502993166287016,33.712984054669704,0.823272117634181,-28121.68,235.0882711812705
2024-03,496,153,-27624.48,94378.92,122003.4,9035.42,-0.13016455353241554,2.368286290322581,1.589274193548387,30.846774193548388,0.7735761462385474,-55746.16,98.23196907154907
2024-04,466,169,38409.700000000004,128007.18000000001,89597.48,8557.98,0.08057376100792142,2.323326180257511,1.5463755364806866,36.26609442060086,1.4286917444553129,-17336.46,-68.9010687014137
2024-05,482,154,-4282.1100000000015,99253.24,103535.35,8150.7,-0.061801913175211984,2.3323029045643153,1.565921161825726,31.950207468879665,0.9586410824901833,-21618.57,24.700025264673407
2024-06,448,149,7155.929999999999,106122.11,98966.18,7239.93,-0.005583194903468645,2.350401785714286,1.4020848214285715,33.25892857142857,1.0723068223912453,-14462.64,-33.100848020937555
2024-07,466,150,-23614.79,91789.44,115404.23,8941.05,-0.10312747931555523,2.3172746781115876,1.588227467811159,32.18884120171674,0.7953732718462747,-38077.43,163.28132346514886
2024-08,438,160,16558.44,126149.26,109590.82,9239.37,0.047197400750230135,2.3200684931506848,1.479849315068493,36.5296803652968,1.1510933123778067,-21518.99,-43.48623318327943
2024-09,331,129,20546.239999999998,97251.01,76704.77,6895.86,0.10182243544859644,2.279093655589124,1.3664290030211481,38.972809667673715,1.2678613077126755,-972.7500000000036,-95.4795740878173
2024-10,378,118,-14180.939999999999,96709.92,110890.86,8145.2699999999995,-0.042533058363637175,2.356984126984127,1.2963492063492064,31.216931216931215,0.8721180447153174,-15153.690000000002,1457.819583654582
2024-11,403,143,6313.7,108507.53,102193.83,8107.48,-0.02187415383745223,2.259106699751861,1.3192332506203472,35.483870967741936,1.0617816163656846,-8839.990000000002,-41.66443948635613
2024-12,392,124,-11790.55,98345.38,110135.93,8017.43,-0.06117670215032813,2.316454081632653,1.369061224489796,31.63265306122449,0.8929454720180782,-20630.54,133.3774133228657
2025-01,357,128,-3941.1699999999996,88293.11,92234.28,8007.29,0.004670494477139434,2.3691596638655463,1.28684593837535,35.85434173669468,0.9572700085044302,-24571.71,19.103571695166476
2025-02,314,116,3569.439999999999,89612.89,86043.45,7569.2699999999995,0.09599800696559431,2.3411783439490446,1.3149936305732484,36.94267515923567,1.0414841571322395,-21002.27,-14.526624317151715
2025-03,345,111,-14108.49,90540.92,104649.41,8127.06,-0.08735008949267627,2.3202028985507246,1.2792000000000001,32.17391304347826,0.8651832819697693,-35110.76,67.17602430594407
2025-04,316,121,11143.79,83557.86,72414.07,6728.45,0.08538753798461896,2.2113291139240507,1.4000759493670885,38.291139240506325,1.1538898448878787,-23966.97,-31.738959794661238
2025-05,377,128,12512.74,107861.89,95349.15,8467.62,-0.040299200550498855,2.3844827586206896,1.2790132625994695,33.95225464190981,1.1312307451088972,-11454.230000000001,-52.20826829590891
2025-06,373,134,18050.55,106663.31,88612.76,7230.13,-0.014222615229680676,2.3032171581769436,1.3385656836461126,35.924932975871315,1.203701475949965,6596.319999999998,-157.58850660411042
2025-07,369,145,5521.0599999999995,117654.6,112133.54,11252.41,0.0960068118313918,2.203550135501355,1.252661246612466,39.295392953929536,1.0492364728697587,12117.379999999997,83.69909282751597
2025-08,304,97,4756.5,98879.72,94123.22,9217.06,-0.0767052232423647,2.3045065789473687,1.2872927631578948,31.907894736842106,1.0505348202069584,16873.879999999997,39.25353500509188
2025-09,286,102,28585.879999999997,108107.43,79521.55,6729.81,0.03844302939616424,2.359755244755245,1.2012622377622377,35.66433566433567,1.3594733754560868,45459.759999999995,169.40905114887624
2025-10,273,114,58306.29,140283.9,81977.61,7886.33,0.20006096973018397,2.308351648351648,1.245974358974359,41.75824175824176,1.7112465220686477,103766.04999999999,128.25912411328173
2025-11,296,117,16467.870000000003,127351.45999999999,110883.59,9301.539999999999,0.15597899774601762,2.312804054054054,1.224152027027027,39.52702702702703,1.1485149425627363,120233.91999999998,15.870190683754458
2025-12,280,99,-10287.63,109257.62,119545.25,11693.5,-0.06709049547589412,2.230642857142857,1.2337714285714287,35.35714285714286,0.9139436322229448,109946.28999999998,-8.556345829862321
2026-01,291,108,39699.1,164303.85,124604.75,11410.59,0.05986332737912535,2.3333676975945017,1.225938144329897,37.11340206185567,1.318600213876277,149645.38999999998,36.10772132465772
2026-02,271,102,34789.33,148236.25,113446.92,9475.45,0.1226811186604014,2.315682656826568,1.2149446494464944,37.63837638376384,1.3066573336675866,184434.71999999997,23.247846124762006
2026-03,304,114,50350.26,185016.51,134666.25,11195.53,0.10676036654321953,2.4042105263157896,1.175986842105263,37.5,1.3738892261424076,234784.97999999998,27.29977305791449
2026-04,307,105,-12826.689999999997,116188.82,129015.51,11631.46,-0.040215532801090664,2.3047557003257326,1.233211726384365,34.20195439739413,0.9005802480647482,221958.28999999998,-5.46316463685198
2026-05,306,111,-2348.5199999999995,138772.1,141120.62,12190.07,0.029859117490895204,2.2930065359477125,1.2340522875816993,36.27450980392157,0.9833580663123505,219609.77,-1.0580906890208963
2026-06,290,99,574.2199999999995,116487.58,115913.36,8528.75,-0.0245391266858834,2.3322413793103447,1.2187551724137933,34.13793103448276,1.0049538724440392,220183.99,0.26147288438032046
